place,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20,12/6/20,12/7/20,12/8/20,12/9/20,12/10/20,12/11/20,12/12/20,12/13/20,12/14/20,12/15/20,12/16/20,12/17/20,12/18/20,12/19/20,12/20/20,12/21/20,12/22/20,12/23/20,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20
Campania,1.0,6.0,8.4,10.3,11.8,13.1,14.4,15.4,16.5,17.4,18.3,19.1,19.9,20.7,21.4,22.1,22.7,23.4,24.0,24.6,25.2,25.8,26.4,27.0,27.5,28.1,28.6,29.2,29.7,30.2,30.8,31.3,31.8,32.3,32.9,33.4,33.9,34.4,34.9,35.4,36.0,36.5
Veneto,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EmiliaRomagna,1.0,5.4,7.4,8.8,9.9,10.7,11.4,11.9,12.3,12.7,13.0,13.2,13.3,13.5,13.6,13.6,13.7,13.7,13.8,13.8,13.8,13.8,13.8,13.9,13.9,13.9,14.0,14.0,14.1,14.2,14.2,14.3,14.4,14.5,14.6,14.7,14.7,14.8,15.0,15.1,15.2,15.3
Lazio,1.0,7.5,10.5,12.7,14.6,16.1,17.4,18.6,19.6,20.5,21.3,22.1,22.7,23.4,23.9,24.4,24.9,25.3,25.7,26.0,26.4,26.7,26.9,27.2,27.4,27.7,27.9,28.1,28.3,28.4,28.6,28.8,28.9,29.1,29.2,29.4,29.5,29.6,29.8,29.9,30.0,30.2
Toscana,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sicilia,1.0,2.9,4.2,5.3,6.3,7.4,8.6,9.8,11.1,12.4,13.9,15.4,16.9,18.5,20.2,21.8,23.5,25.2,26.9,28.6,30.2,31.9,33.6,35.2,36.8,38.4,40.0,41.6,43.1,44.6,46.1,47.6,49.1,50.5,52.0,53.4,54.8,56.2,57.6,58.9,60.3,61.6
Liguria,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puglia,1.0,4.1,6.7,9.0,11.0,12.8,14.4,15.9,17.2,18.5,19.7,20.9,22.0,23.1,24.1,25.1,26.0,26.9,27.8,28.7,29.5,30.3,31.1,31.9,32.6,33.3,34.0,34.6,35.2,35.9,36.4,37.0,37.5,38.1,38.6,39.1,39.5,40.0,40.4,40.8,41.2,41.5
Marche,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abruzzo,1.0,1.4,2.0,2.4,2.8,3.1,3.4,3.7,3.9,4.2,4.4,4.6,4.8,5.0,5.2,5.4,5.2,3.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FriuliVeneziaGiulia,1.0,2.8,4.0,4.9,5.6,6.3,6.9,7.4,7.9,8.3,8.8,9.2,9.5,9.9,10.2,10.5,10.8,11.1,11.4,11.6,11.8,12.0,12.2,12.4,12.6,12.8,12.9,13.1,13.2,13.3,13.5,13.6,13.7,13.8,13.8,13.9,14.0,14.1,14.1,14.2,14.2,14.3
Umbria,1.0,1.1,1.5,1.8,2.1,2.4,2.6,2.8,3.0,3.2,3.3,3.5,3.7,3.8,3.9,4.1,4.2,4.3,4.5,4.6,4.7,4.8,4.9,5.0,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.9,6.0,6.1,6.2,6.3,6.4,6.5,6.6,6.6,6.7
scuola7,1.0,2.4,3.5,4.2,4.9,5.5,6.0,6.5,6.9,7.3,7.7,8.1,8.5,8.8,9.2,9.5,9.8,10.1,10.4,10.7,10.9,11.2,11.5,11.7,12.0,12.2,12.5,12.7,12.9,13.2,13.4,13.6,13.8,14.1,14.3,14.5,14.7,14.9,15.1,15.3,15.5,15.7
Bolzano,1.0,2.4,3.5,4.2,4.9,5.5,6.0,6.5,6.9,7.3,7.7,8.1,8.5,8.8,9.2,9.5,9.8,10.1,10.4,10.7,10.9,11.2,11.5,11.7,12.0,12.2,12.5,12.7,12.9,13.2,13.4,13.6,13.8,14.1,14.3,14.5,14.7,14.9,15.1,15.3,15.5,15.7
Sardegna,1.0,1.6,2.2,2.7,3.1,3.5,3.8,4.1,4.4,4.7,4.9,5.1,5.4,5.6,5.8,6.0,6.2,6.4,6.6,6.8,6.9,7.1,7.3,7.4,7.6,7.8,7.9,8.1,8.2,8.4,8.5,8.6,8.8,8.9,9.0,9.2,9.3,9.4,9.6,9.7,9.8,9.9
Calabria,1.0,2.6,3.6,4.4,5.0,5.5,5.9,6.3,6.7,7.0,7.2,7.5,7.7,7.9,8.0,8.2,8.3,8.4,8.5,8.6,8.7,8.7,8.8,8.8,8.8,8.8,8.8,8.7,8.7,8.7,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.7,8.7,8.7
Valled'Aosta,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Molise,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
